id_pais;nombre_tabla;nombre_origen;nombre_origen_erp
BO;m_asignacion_modulo;bigmagic;bigmagic
BO;m_clasificacion_cliente;bigmagic;bigmagic
BO;m_eje_territorial;bigmagic;bigmagic
BO;m_estructura_comercial;bigmagic;bigmagic
BO;m_forma_pago;bigmagic;bigmagic
BO;m_fuerza_venta;bigmagic;bigmagic
BO;m_lista_precio;bigmagic;bigmagic
BO;m_modelo_atencion;bigmagic;bigmagic
BO;m_modulo;bigmagic;bigmagic
BO;m_responsable_comercial;bigmagic;bigmagic
BO;t_visita;salesforce;bigmagic
CO;m_modelo_atencion;bigmagic;oracle
CO;m_asignacion_modulo;salesforce;oracle
CO;m_clasificacion_cliente;salesforce;oracle
CO;m_eje_territorial;salesforce;oracle
CO;m_estructura_comercial;salesforce;oracle
CO;m_forma_pago;salesforce;oracle
CO;m_fuerza_venta;salesforce;oracle
CO;m_lista_precio;salesforce;oracle
CO;m_modulo;salesforce;oracle
CO;m_responsable_comercial;salesforce;oracle
CO;t_visita;salesforce;oracle
CR;m_modelo_atencion;bigmagic;bigmagic
CR;m_asignacion_modulo;bigmagic;bigmagic
CR;m_clasificacion_cliente;bigmagic;bigmagic
CR;m_eje_territorial;bigmagic;bigmagic
CR;m_estructura_comercial;bigmagic;bigmagic
CR;m_forma_pago;bigmagic;bigmagic
CR;m_fuerza_venta;bigmagic;bigmagic
CR;m_lista_precio;bigmagic;bigmagic
CR;m_modulo;bigmagic;bigmagic
CR;m_responsable_comercial;bigmagic;bigmagic
CR;t_visita;salesforce;bigmagic
EC;m_modelo_atencion;bigmagic;bigmagic
EC;m_asignacion_modulo;bigmagic;bigmagic
EC;m_clasificacion_cliente;bigmagic;bigmagic
EC;m_eje_territorial;bigmagic;bigmagic
EC;m_estructura_comercial;bigmagic;bigmagic
EC;m_forma_pago;bigmagic;bigmagic
EC;m_fuerza_venta;bigmagic;bigmagic
EC;m_lista_precio;bigmagic;bigmagic
EC;m_modulo;bigmagic;bigmagic
EC;m_responsable_comercial;bigmagic;bigmagic
EC;t_visita;salesforce;bigmagic
GT;m_modelo_atencion;bigmagic;bigmagic
GT;m_asignacion_modulo;bigmagic;bigmagic
GT;m_clasificacion_cliente;bigmagic;bigmagic
GT;m_eje_territorial;bigmagic;bigmagic
GT;m_estructura_comercial;bigmagic;bigmagic
GT;m_forma_pago;bigmagic;bigmagic
GT;m_fuerza_venta;bigmagic;bigmagic
GT;m_lista_precio;bigmagic;bigmagic
GT;m_modulo;bigmagic;bigmagic
GT;m_responsable_comercial;bigmagic;bigmagic
GT;t_visita;salesforce;bigmagic
HN;m_modelo_atencion;bigmagic;bigmagic
HN;m_asignacion_modulo;bigmagic;bigmagic
HN;m_clasificacion_cliente;bigmagic;bigmagic
HN;m_eje_territorial;bigmagic;bigmagic
HN;m_estructura_comercial;bigmagic;bigmagic
HN;m_forma_pago;bigmagic;bigmagic
HN;m_fuerza_venta;bigmagic;bigmagic
HN;m_lista_precio;bigmagic;bigmagic
HN;m_modulo;bigmagic;bigmagic
HN;m_responsable_comercial;bigmagic;bigmagic
HN;t_visita;salesforce;bigmagic
MX;m_modelo_atencion;bigmagic;bigmagic
MX;m_asignacion_modulo;bigmagic;bigmagic
MX;m_clasificacion_cliente;bigmagic;bigmagic
MX;m_eje_territorial;bigmagic;bigmagic
MX;m_estructura_comercial;bigmagic;bigmagic
MX;m_forma_pago;bigmagic;bigmagic
MX;m_fuerza_venta;bigmagic;bigmagic
MX;m_lista_precio;bigmagic;bigmagic
MX;m_modulo;bigmagic;bigmagic
MX;m_responsable_comercial;bigmagic;bigmagic
MX;t_visita;salesforce;bigmagic
NI;m_modelo_atencion;bigmagic;bigmagic
NI;m_asignacion_modulo;bigmagic;bigmagic
NI;m_clasificacion_cliente;bigmagic;bigmagic
NI;m_eje_territorial;bigmagic;bigmagic
NI;m_estructura_comercial;bigmagic;bigmagic
NI;m_forma_pago;bigmagic;bigmagic
NI;m_fuerza_venta;bigmagic;bigmagic
NI;m_lista_precio;bigmagic;bigmagic
NI;m_modulo;bigmagic;bigmagic
NI;m_responsable_comercial;bigmagic;bigmagic
NI;t_visita;salesforce;bigmagic
PA;m_modelo_atencion;bigmagic;bigmagic
PA;m_asignacion_modulo;bigmagic;bigmagic
PA;m_clasificacion_cliente;bigmagic;bigmagic
PA;m_eje_territorial;bigmagic;bigmagic
PA;m_estructura_comercial;bigmagic;bigmagic
PA;m_forma_pago;bigmagic;bigmagic
PA;m_fuerza_venta;bigmagic;bigmagic
PA;m_lista_precio;bigmagic;bigmagic
PA;m_modulo;bigmagic;bigmagic
PA;m_responsable_comercial;bigmagic;bigmagic
PA;t_visita;salesforce;bigmagic
PE;m_modelo_atencion;bigmagic;bigmagic
PE;m_asignacion_modulo;bigmagic;bigmagic
PE;m_clasificacion_cliente;bigmagic;bigmagic
PE;m_eje_territorial;bigmagic;bigmagic
PE;m_estructura_comercial;bigmagic;bigmagic
PE;m_forma_pago;bigmagic;bigmagic
PE;m_fuerza_venta;bigmagic;bigmagic
PE;m_lista_precio;bigmagic;bigmagic
PE;m_modulo;bigmagic;bigmagic
PE;m_responsable_comercial;bigmagic;bigmagic
PE;t_visita;salesforce;bigmagic
SV;m_modelo_atencion;bigmagic;bigmagic
SV;m_asignacion_modulo;bigmagic;bigmagic
SV;m_clasificacion_cliente;bigmagic;bigmagic
SV;m_eje_territorial;bigmagic;bigmagic
SV;m_estructura_comercial;bigmagic;bigmagic
SV;m_forma_pago;bigmagic;bigmagic
SV;m_fuerza_venta;bigmagic;bigmagic
SV;m_lista_precio;bigmagic;bigmagic
SV;m_modulo;bigmagic;bigmagic
SV;m_responsable_comercial;bigmagic;bigmagic
SV;t_visita;salesforce;bigmagic
VE;m_modelo_atencion;bigmagic;bigmagic
VE;m_asignacion_modulo;bigmagic;bigmagic
VE;m_clasificacion_cliente;bigmagic;bigmagic
VE;m_eje_territorial;bigmagic;bigmagic
VE;m_estructura_comercial;bigmagic;bigmagic
VE;m_forma_pago;bigmagic;bigmagic
VE;m_fuerza_venta;bigmagic;bigmagic
VE;m_lista_precio;bigmagic;bigmagic
VE;m_modulo;bigmagic;bigmagic
VE;m_responsable_comercial;bigmagic;bigmagic
VE;t_visita;salesforce;bigmagic
