TARGET_TABLE_NAME;ACTIVE_FLAG;BUSINESS_UNIT;COLUMNS;INCREMENTAL_COLUMN;LOAD_TYPE;PROCESS_ID;SOURCE_ENDPOINT;SOURCE_TABLE;TEMPORAL_NAME
SAP_UNACEM_EC_ZIFCMLMATLEDGDOC;true;;;;full;10;SAP_UNACEM_EC;ZIFCMLMATLEDGDOC;ZIFCMLMATLEDGDOC_CDC
CONCREMAX_FULL_DMS_DOV;true;;;;full;10;CONCREMAX_FULL_DMS;dov;
UNICON_REPLCS_FULL_DMS_ICAT;true;;;;full;10;UNICON_REPLCS_FULL_DMS;icat;
SAP_UNACEM_EC_POC_ZIWORKCENTERTD;true;;;;full;10;SAP_UNACEM_EC_POC;ZIWORKCENTERTD;ZIWORKCENTERTD
UNICON_FULL_DMS_FAM;true;;;;full;10;UNICON_FULL_DMS;fam;
SAP_UNACEM_EC_ZIMATVALUATION;true;;;;full;10;SAP_UNACEM_EC;ZIMATVALUATION;ZIMATVALUATION
CONCREMAXREPLCS_FULL_DMS_PLNT;true;;;;full;10;CONCREMAXREPLCS_FULL_DMS;plnt;
CONCREMAX_FULL_DMS_OCC;true;;;;full;10;CONCREMAX_FULL_DMS;occ;
SAP_UNACEM_EC_IPRODUCT;true;;;;full;10;SAP_UNACEM_EC;IPRODUCT;IPRODUCT_CDC
UNICON_REPLCS_FULL_DMS_RSNC;true;;;;full;10;UNICON_REPLCS_FULL_DMS;rsnc;
UNICON_FULL_DMS_DOV;true;;;;full;10;UNICON_FULL_DMS;dov;
CONCREMAX_FULL_DMS_TCB;true;;;;full;10;CONCREMAX_FULL_DMS;tcb;
UNICON_FULL_DMS_DDV;true;;;;full;10;UNICON_FULL_DMS;ddv;
CONCREMAX_FULL_DMS_DDV;true;;;;full;10;CONCREMAX_FULL_DMS;ddv;
CONCREMAX_FULL_DMS_IGR;true;;;;full;10;CONCREMAX_FULL_DMS;igr;
SAP_UNACEM_EC_ZIHBDREPSTRUCML;true;;;;full;10;SAP_UNACEM_EC;ZIHBDREPSTRUCML;
CONCREMAXREPLCS_FULL_DMS_COMP;true;;;;full;10;CONCREMAXREPLCS_FULL_DMS;comp;
UNICON_REPLCS_FULL_DMS_PLNT;true;;;;full;10;UNICON_REPLCS_FULL_DMS;plnt;
SAP_UNACEM_EC_ZISALESDOBASDEX;true;;;;full;10;SAP_UNACEM_EC;ZISALESDOBASDEX;ZISALESDOBASDEX
UNICON_FULL_DMS_COO;true;;;;full;10;UNICON_FULL_DMS;coo;
SALESFORCE_OPPORTUNITY;true;;"""Tonelaje_2__c,Zona__c,IsClosed,PushCount,A_o_4__c,HasOverdueTask,Segmento_de_Uso__c,Id,LastActivityDate,Muestras__c,Tipo_de_Precio__c,IsWon,Capacitaci_n__c,LastModifiedById,FiscalYear,Tonelaje_1__c,Name,ContactId,Tonelaje_4__c,Comentario_Perdida__c,Tonelaje_5__c,LastViewedDate,T_rminos_de_Pago__c,Fiscal,LastReferencedDate,LastModifiedDate,A_o_2__c,Fecha_Inicio__c,NextStep,CreatedDate,ForecastCategory,CampaignId,Precio_Referencial__c,ForecastCategoryName,DB_Competitor__c,A_o_1__c,IsDeleted,Canal__c,Movilizaci_n__c,A_o_3__c,Cerrado_Ganado__c,Tonelaje_3__c,LastAmountChangedHistoryId,Probability,CloseDate,No_actual_de_visitas__c,AccountId,Toneladas__c,HasOpenActivity,Presupuesto__c,LastCloseDateChangedHistoryId,Calcular_IVA__c,Cerrado_Perdido__c,OwnerId,Amount,StageName,LastStageChangeDate,FiscalQuarter,Description,Total__c,Candidato__c,SystemModstamp,Type,Pruebas__c,CreatedById,A_o_5__c,SyncedQuoteId,HasOpportunityLineItem,LeadSource,Pricebook2Id""";;full;10;SALESFORCE_UNACEM_EC;opportunity;
CONCREMAX_FULL_DMS_COB;true;;;;full;10;CONCREMAX_FULL_DMS;cob;
UNICON_FULL_DMS_DAC;true;;;;full;10;UNICON_FULL_DMS;dac;
UNICON_FULL_DMS_EST;true;;;;full;10;UNICON_FULL_DMS;est;
CONCREMAXREPLCS_FULL_DMS_USGE;true;;;;full;10;CONCREMAXREPLCS_FULL_DMS;usge;
UNICON_FULL_DMS_DVT;true;;;;full;10;UNICON_FULL_DMS;dvt;
UNICON_FULL_DMS_RCL;true;;;;full;10;UNICON_FULL_DMS;rcl;
UNICON_FULL_DMS_GRE;true;;;;full;10;UNICON_FULL_DMS;gre;
CONCREMAX_FULL_DMS_ODE;true;;;;full;10;CONCREMAX_FULL_DMS;ode;
SAP_UNACEM_EC_ZIOPCSEG;true;;;;full;10;SAP_UNACEM_EC;ZIOPCSEG;ZIOPCSEG_CDC
SAP_UNACEM_EC_ZIADDRESS;true;;;;full;10;SAP_UNACEM_EC;ZIADDRESS;ZIADDRESS_CDC
SAP_UNACEM_EC_ZIPRODUCTTEXT;true;;;;full;10;SAP_UNACEM_EC;ZIPRODUCTTEXT;ZIPRODUCTTEXT_CDC
CONCREMAX_FULL_DMS_BOM;true;;;;full;10;CONCREMAX_FULL_DMS;bom;
SAP_UNACEM_EC_ZISEGMENTOS;true;;;;full;10;SAP_UNACEM_EC;ZISEGMENTOS;ZISEGMENTOS
SALESFORCE_CONTRACT_UNICON_PE;true;;*;;full;10;SALESFORCE_UNICON_PE;contract;
SAP_UNACEM_EC_ZIPROVINCETEXT;true;;;;full;10;SAP_UNACEM_EC;ZIPROVINCETEXT;ZIPROVINCETEXT_CDC
CONCREMAX_FULL_DMS_PER;true;;;;full;10;CONCREMAX_FULL_DMS;per;
CONCREMAX_FULL_DMS_TIR;true;;;;full;10;CONCREMAX_FULL_DMS;tir;
SAP_UNACEM_EC_ZISDSLSDOCITMDX1;true;;;;full;10;SAP_UNACEM_EC;ZISDSLSDOCITMDX1;ZISDSLSDOCITMDX1_CDC
SALESFORCE_ORDER;true;;"""EndDate,FechaEstimadaEntrega__c,EffectiveDate,ViaPago__c,Operador_Logistico__c,DireccionEnvioPuntoVenta__c,ShippingCountry,DiasCredito__c,BillingGeocodeAccuracy,Id,ShippingLatitude,StatusCode,Incluye_Flete__c,Precio__c,IncluyeEstibaje__c,DireccionEnvioPuntoVenta__Longitude__s,LastModifiedById,CompanyAuthorizedById,ContactoAsesor__c,ActivatedDate,ShippingCity,DireccionEnvioPuntoVenta__Latitude__s,ShippingPostalCode,BillingStreet,ShippingLongitude,LastViewedDate,ShippingStreet,LastModifiedDate,LastReferencedDate,Incluye_Estibaje__c,CreatedDate,CorreoElectronico__c,BillingCity,IsDeleted,ShippingGeocodeAccuracy,ContractId,BillingLongitude,BillingPostalCode,RUC__c,DireccionAdicionalEntrega__c,BillingLatitude,OtraDireccionEntrega__c,V_a_de_Pago__c,Direcci_n_Adicional_Entrega__Latitude__s,OrderNumber,Otra_Direcci_n_de_Entrega__c,OriginalOrderId,AccountId,CustomerAuthorizedById,BillingCountry,Status,ShippingState,ActivatedById,IncluyeFlete__c,Observaciones__c,OperadorLogistico__c,IsReductionOrder,BillingState,Fecha_estimada_entrega__c,OwnerId,Correo_Electronico__c,Description,ShippingAddress,BillingAddress,D_as_de_cr_dito__c,TotalAmount,Type,SystemModstamp,Direcci_n_Adicional_Entrega__Longitude__s,CreatedById,Direcci_n_Adicional_Entrega__c,Pricebook2Id""";;full;10;SALESFORCE_UNACEM_EC;order;
UNICON_FULL_DMS_PER;true;;;;full;10;UNICON_FULL_DMS;per;
SALESFORCE_SURVEYQUESTION;true;;"""QuestionType,LastModifiedById,IsDeleted,DeveloperName,SurveyVersionId,SurveyPageId,ValidationType,Name,IsDeprecated,SystemModstamp,QuestionOrder,PageDisplayOrder,CreatedById,Id,LastModifiedDate,CreatedDate,QuestionName,PageName""";;full;10;SALESFORCE_UNACEM_EC;surveyquestion;
SAP_UNACEM_EC_ZICTA506;true;;;;full;10;SAP_UNACEM_EC;ZICTA506;ZICTA506_CDC
SHAREPOINT_testappflow;true;UNICON PE;*;;full;10;SHAREPOINT_UNACEM_EC;testappflow;testappflow.xlsx
SALESFORCE_ACCOUNT_UNICON_PE;true;;*;;full;10;SALESFORCE_UNICON_PE;account;
UNICON_INC_DMS_PAL;true;;;;full;10;UNICON_INC_DMS;pal;
SALESFORCE_VISITPLAN__C;true;;"""LastModifiedById,IsDeleted,OwnerId,TotalVisits__c,ToDate__c,Name,TotalTons__c,SystemModstamp,LastViewedDate,LastActivityDate,CreatedById,Id,LastModifiedDate,CreatedDate,LastReferencedDate,FromDate__c""";;full;10;SALESFORCE_UNACEM_EC;visitplan__c;
UNICON_FULL_DMS_PER_EMP;true;;;;full;10;UNICON_FULL_DMS;per_emp;
CONCREMAX_FULL_DMS_PTA;true;;;;full;10;CONCREMAX_FULL_DMS;pta;
SHAREPOINT_fuente_ajuste;true;UNACEM EC;*;;full;10;SHAREPOINT_UNACEM_EC;fuente_ajuste;fuente_ajuste.cvs
SAP_UNACEM_EC_ZSDSLSDOCBIZDAT;true;;;;full;10;SAP_UNACEM_EC;ZSDSLSDOCBIZDAT;ZSDSLSDOCBIZDAT_CDC
UNICON_REPLCS_INC_DMS_ORDL;true;;;;full;10;UNICON_REPLCS_INC_DMS;ordl;
SAP_UNACEM_EC_IFIOPACCTGDOCIT;true;;;;full;10;SAP_UNACEM_EC;IFIOPACCTGDOCIT;IFIOPACCTGDOCIT_CDC
SALESFORCE_TASK_UNICON_PE;true;;*;;full;10;SALESFORCE_UNICON_PE;task;
SAP_UNACEM_EC_ZITERMSPAYTEXT;true;;;;full;10;SAP_UNACEM_EC;ZITERMSPAYTEXT;ZITERMSPAYTEXT_CDC
UNICON_FULL_DMS_OCC;true;;;;full;10;UNICON_FULL_DMS;occ;
CONCREMAX_FULL_DMS_SIS;true;;;;full;10;CONCREMAX_FULL_DMS;sis;
SAP_UNACEM_EC_CSDBDOCITMPECDX1;true;;;;full;10;SAP_UNACEM_EC;CSDBDOCITMPECDX1;
CONCREMAX_FULL_DMS_PSP;true;;;;full;10;CONCREMAX_FULL_DMS;psp;
SALESFORCE_PRODUCT2;true;;"""StockKeepingUnit,Family,Id,LastModifiedById,Name,IsArchived,LastViewedDate,LastReferencedDate,LastModifiedDate,PRESENTACION__c,CreatedDate,ExternalDataSourceId,ExternalId,DisplayUrl,IsDeleted,Toneladas__c,ProductCode,Description,QuantityUnitOfMeasure,SystemModstamp,CreatedById,IsActive""";;full;10;SALESFORCE_UNACEM_EC;product2;
SAP_UNACEM_EC_ZICUSTOMER;true;;;;full;10;SAP_UNACEM_EC;ZICUSTOMER;ZICUSTOMER
SAP_UNACEM_EC_ZICUSTGRP3TEXT;true;;;;full;10;SAP_UNACEM_EC;ZICUSTGRP3TEXT;ZICUSTGRP3TEXT_CDC
SHAREPOINT_pres_visitas;true;UNACEM EC;*;;full;10;SHAREPOINT_UNACEM_EC;pres_visitas;pres_visitas.csv
SALESFORCE_UNICON_OBJ_DESPACHO__C_UNICON_PE;true;;*;;full;10;SALESFORCE_UNICON_PE;unicon_obj_despacho__c;
CONCREMAX_FULL_DMS_TOB;true;;;;full;10;CONCREMAX_FULL_DMS;tob;
SAP_UNACEM_EC_ZICUSSALPARTF;true;;;;full;10;SAP_UNACEM_EC;ZICUSSALPARTF;ZICUSSALPARTF
CONCREMAX_FULL_DMS_RCL;true;;;;full;10;CONCREMAX_FULL_DMS;rcl;
SAP_UNACEM_EC_ZPPROCMTALTV;true;;;;full;10;SAP_UNACEM_EC;ZPPROCMTALTV;ZPPROCMTALTV_CDC
CONCREMAX_FULL_DMS_COO;true;;;;full;10;CONCREMAX_FULL_DMS;coo;
UNICON_FULL_DMS_BOM;true;;;;full;10;UNICON_FULL_DMS;bom;
CONCREMAXREPLCS_FULL_DMS_ICAT;true;;;;full;10;CONCREMAXREPLCS_FULL_DMS;icat;
CONCREMAX_FULL_DMS_DCC;true;;;;full;10;CONCREMAX_FULL_DMS;dcc;
CONCREMAXREPLCS_FULL_DMS_PROJ;true;;;;full;10;CONCREMAXREPLCS_FULL_DMS;proj;
CONCREMAXREPLCS_FULL_DMS_ORDR;true;;;;full;10;CONCREMAXREPLCS_FULL_DMS;ordr;
SALESFORCE_VOLUMENES__C_HD;true;;"""ValidFromDate,ParentId,IsDeleted,TM_REAL__c_hpr,Total_TM__c_hst,Fecha_LM__c_hst,Total_TM__c_hpr,Fecha_LM__c_hpr,SystemModstamp,TM_REAL__c_hst,CreatedById,Id,CreatedDate,ValidToDate""";CreatedDate;full;10;SALESFORCE_UNACEM_EC;volumenes__c_hd;
SAP_UNACEM_EC_IPRDSALESDELIV;true;;;;full;10;SAP_UNACEM_EC;IPRDSALESDELIV;IPRDSALESDELIV_CDC
CONCREMAX_FULL_DMS_TCOM_COSTO_SDC;true;;;;full;10;CONCREMAX_FULL_DMS;tcom_costo_sdc;
UNICON_FULL_DMS_TOB;true;;;;full;10;UNICON_FULL_DMS;tob;
SALESFORCE_UNICON_OBJ_FRENTE__C_UNICON_PE;true;;*;;full;10;SALESFORCE_UNICON_PE;unicon_obj_frente__c;
SAP_UNACEM_EC_ZICTA902;true;;;;full;10;SAP_UNACEM_EC;ZICTA902;
CONCREMAX_FULL_DMS_EQU;true;;;;full;10;CONCREMAX_FULL_DMS;equ;
SAP_UNACEM_EC_IFICOMPANYCODE;true;;;;full;10;SAP_UNACEM_EC;IFICOMPANYCODE;
SAP_UNACEM_EC_ZIMLDOCXTRCTR;true;;;;full;10;SAP_UNACEM_EC;ZIMLDOCXTRCTR;
SAP_UNACEM_EC_ZICKMLHD;true;;;;full;10;SAP_UNACEM_EC;ZICKMLHD;
SHAREPOINT_fuente_dias_laborables;true;UNACEM EC;*;;full;10;SHAREPOINT_UNACEM_EC;fuente_dias_laborables;fuente_dias_laborables.csv
UNICON_FULL_DMS_PTA;true;;;;full;10;UNICON_FULL_DMS;pta;
CONCREMAX_FULL_DMS_DVT;true;;;;full;10;CONCREMAX_FULL_DMS;dvt;
SAP_UNACEM_EC_ZIPAYTERCONTEXT;true;;;;full;10;SAP_UNACEM_EC;ZIPAYTERCONTEXT;
SHAREPOINT_BD_EBITDA_GRANULAR_ok;true;UNICON PE;*;;full;10;SHAREPOINT_UNACEM_EC;BD_EBITDA_GRANULAR_ok;General/UNICON PE/BD_EBITDA_GRANULAR_ok.csv
SALESFORCE_UNICON_OBJ_PLANTA__C_UNICON_PE;true;;*;;full;10;SALESFORCE_UNICON_PE;unicon_obj_planta__c;
SAP_UNACEM_EC_ZICOSTELET;true;;;;full;10;SAP_UNACEM_EC;ZICOSTELET;
SAP_UNACEM_EC_ZIINTERCHARACTXT;true;;;;full;10;SAP_UNACEM_EC;ZIINTERCHARACTXT;
SAP_UNACEM_EC_ZICONSCAT;true;;;;full;10;SAP_UNACEM_EC;ZICONSCAT;
UNICON_INC_DMS_IPA;true;;;;full;10;UNICON_INC_DMS;ipa;
SAP_UNACEM_EC_POC_ZIMFGORDCONFD;true;;;;full;10;SAP_UNACEM_EC_POC;ZIMFGORDCONFD;ZIMFGORDCONFD
SHAREPOINT_Pres_visitas;true;UNICON PE;*;;full;10;SHAREPOINT_UNACEM_EC;Pres_visitas;Pres_visitas.xlsx
SAP_UNACEM_EC_ZISALESZONETEXT;true;;;;full;10;SAP_UNACEM_EC;ZISALESZONETEXT;
SALESFORCE_CASE_UNICON_PE;true;;*;;full;10;SALESFORCE_UNICON_PE;case;
SAP_UNACEM_EC_ZIMATERIALPLANT;true;;;;full;10;SAP_UNACEM_EC;ZIMATERIALPLANT;ZIMATERIALPLANT
UNICON_FULL_DMS_IGR;true;;;;full;10;UNICON_FULL_DMS;igr;
SALESFORCE_SURVEYQUESTIONRESPONSE;true;;"""IpAddress,Id,CompletionDateTime,Language,LastModifiedById,SurveyVersionId,InterviewId,Name,SurveyId,LastViewedDate,LastReferencedDate,LastModifiedDate,CreatedDate,IsDeleted,InvitationId,Status,SubmitterId,InterviewGuid,SystemModstamp,Latitude,CreatedById,Location,Longitude""";;full;10;SALESFORCE_UNACEM_EC;surveyquestionresponse;
UNICON_REPLCS_FULL_DMS_SCHD;true;;;;full;10;UNICON_REPLCS_FULL_DMS;schd;
CONCREMAX_FULL_DMS_TCOM_COSTO;true;;;;full;10;CONCREMAX_FULL_DMS;tcom_costo;
UNICON_FULL_DMS_FER;true;;;;full;10;UNICON_FULL_DMS;fer;
SAP_UNACEM_EC_ZICUSTGRP4TEXT;true;;;;full;10;SAP_UNACEM_EC;ZICUSTGRP4TEXT;
SHAREPOINT_test_file;true;UNACEM EC;*;;full;10;SHAREPOINT_UNACEM_EC;test_file;test_file.xlsx
CONCREMAX_FULL_DMS_DNT;true;;;;full;10;CONCREMAX_FULL_DMS;dnt;
SAP_UNACEM_EC_ZICUSTGRP1TEXT;true;;;;full;10;SAP_UNACEM_EC;ZICUSTGRP1TEXT;
UNICON_REPLCS_FULL_DMS_TKTL;true;;;;full;10;UNICON_REPLCS_FULL_DMS;tktl;
UNICON_FULL_DMS_DNT;true;;;;full;10;UNICON_FULL_DMS;dnt;
SAP_UNACEM_EC_ZIFIFYEARPERIOD;true;;;;full;10;SAP_UNACEM_EC;ZIFIFYEARPERIOD;
SAP_UNACEM_EC_ZIACCTSHIPCSTIT;true;;;;full;10;SAP_UNACEM_EC;ZIACCTSHIPCSTIT;ZIACCTSHIPCSTIT
SAP_UNACEM_EC_ZIPICKUPORDER;true;;;;full;10;SAP_UNACEM_EC;ZIPICKUPORDER;
SAP_UNACEM_EC_ZICUSTGRPTEXT;true;;;;full;10;SAP_UNACEM_EC;ZICUSTGRPTEXT;
SAP_UNACEM_EC_POC_ZIMFGORDID;true;;;;full;10;SAP_UNACEM_EC_POC;ZIMFGORDID;ZIMFGORDID
SALESFORCE_UNICON_OBJ_FRENTEDEOPORTUNIDAD__C_UNICON_PE;true;;*;;full;10;SALESFORCE_UNICON_PE;unicon_obj_frentedeoportunidad__c;
SAP_UNACEM_EC_ZICNDTNITM;true;;;;full;10;SAP_UNACEM_EC;ZICNDTNITM;
SALESFORCE_INVESTIGACION_SACOS__C;true;;*;;full;10;SALESFORCE_UNACEM_EC;investigacion_sacos__c;
UNICON_FULL_DMS_PREVTA;true;;;;full;10;UNICON_FULL_DMS;prevta;
SAP_UNACEM_EC_ZISALESDOCDELD;true;;;;full;10;SAP_UNACEM_EC;ZISALESDOCDELD;
CONCREMAX_FULL_DMS_ACO;true;;;;full;10;CONCREMAX_FULL_DMS;aco;
CONCREMAX_FULL_DMS_PREVTA;true;;;;full;10;CONCREMAX_FULL_DMS;prevta;
SAP_UNACEM_EC_ZIORDERDELIVSD;true;;;;full;10;SAP_UNACEM_EC;ZIORDERDELIVSD;
SAP_UNACEM_EC_ZIPAYMENTMETHOD;true;;;;full;10;SAP_UNACEM_EC;ZIPAYMENTMETHOD;
SAP_UNACEM_EC_ILEDELIVDOC;true;;;;full;10;SAP_UNACEM_EC;ILEDELIVDOC;
SAP_UNACEM_EC_ZISEGSOCCLI;true;;;;full;10;SAP_UNACEM_EC;ZISEGSOCCLI;
CONCREMAXREPLCS_FULL_DMS_SCHL;true;;;;full;10;CONCREMAXREPLCS_FULL_DMS_TEST;schl;
CONCREMAX_FULL_DMS_FER_COM;true;;;;full;10;CONCREMAX_FULL_DMS;fer_com;
SAP_UNACEM_EC_ZICUSTOMERCOMP;true;;;;full;10;SAP_UNACEM_EC;ZICUSTOMERCOMP;ZICUSTOMERCOMP
UNICON_FULL_DMS_OBR;true;;;;full;10;UNICON_FULL_DMS;obr;
CONCREMAX_FULL_DMS_DAC;true;;;;full;10;CONCREMAX_FULL_DMS;dac;
CONCREMAX_FULL_DMS_PED;true;;;;full;10;CONCREMAX_FULL_DMS;ped;
SALESFORCE_ORDER_UNICON_PE;true;;*;;full;10;SALESFORCE_UNICON_PE;order;
SAP_UNACEM_EC_ZIBILLDOCITMB;true;;;;full;10;SAP_UNACEM_EC;ZIBILLDOCITMB;ZIBILLDOCITMB
SAP_UNACEM_EC_ZIVALUATIONAREA;true;;;;full;10;SAP_UNACEM_EC;ZIVALUATIONAREA;
UNICON_INC_DMS_ODE;true;;;;full;10;UNICON_INC_DMS;ode;
CONCREMAXREPLCS_FULL_DMS_TKTL;true;;;;full;10;CONCREMAXREPLCS_FULL_DMS;tktl;
SALESFORCE_OPPORTUNITY_UNICON_PE;true;;*;;full;10;SALESFORCE_UNICON_PE;opportunity;
SALESFORCE_LEAD_UNICON_PE;true;;*;;full;10;SALESFORCE_UNICON_PE;lead;
SALESFORCE_QUOTE_UNICON_PE;true;;*;;full;10;SALESFORCE_UNICON_PE;quote;
CONCREMAXREPLCS_FULL_DMS_TICK;true;;;;full;10;CONCREMAXREPLCS_FULL_DMS;tick;
SALESFORCE_RECORDTYPE;true;;"""DeveloperName,BusinessProcessId,LastModifiedById,Name,SobjectType,NamespacePrefix,Description,SystemModstamp,CreatedById,Id,LastModifiedDate,CreatedDate,IsActive""";;full;10;SALESFORCE_UNACEM_EC;recordtype;
